LanguageId;CountryId;Name;Capital;Population;SquareArea;DensityPerKm;Flag
2;474;Brunej;Bandar Seri Begawan;417795;5765;72.47;0x89504E470D0A1A0A0000000D494844520000003C000000240403000000275744B700000030504C5445000000FFFFFF7F0000FF0000FF7F00FFBF00FFFF0000FF0000BF00007F007FBFFF0000FF00007F803F00808080C0C0C0B75A2257000000EA4944415478DAA5D35D0AC3201004E02942DF25907318063C8F2078FF237457E34F5BB50FDD4068FB8D59B34D90B605FB83ED796E59EADCB3D4FDDD2FF80E70C9B9C78E25E0B77CD0EE98BCAC5DF3A53CDC2880C7B898C56B00B96A63762F3D802150789C4465984B3BEB62FD50039D1D8CCD70E9EDCD185038ECF1BD1A74C270CA5CB35C67CAA6B1E99B47F862CA36EA30915268EC7483887ABA0368B333EE294C3C5DE13C6DB4D9CB8F04A95B646DF840FBEFA2838F864CE88CCE643472F2C14D39277CE2886FCCE4E5129E6ECA913E1F0B56F74CD220CC7B4B80697C8A3E78ACB0E712F8F1FAFFC52F25C9E743D34A4EA40000000049454E44AE426082
2;479;Bolgarija;Sofia;7474753;110994;67.34;0x89504E470D0A1A0A0000000D494844520000003C000000240403000000275744B700000030504C5445000000FFFFFF7F0000FF0000FF7F00FFBF00FFFF0000FF0000BF00007F007FBFFF0000FF00007F803F00808080C0C0C0B75A22570000001F4944415478DA6310C40B1846A56920DD81178C4AD342DA182F1895A6813400F6E11EF0FC9128CC0000000049454E44AE426082
2;508;Burkina Faso;Ouagadougou;14737767;267950;55.00;0x89504E470D0A1A0A0000000D494844520000003C000000240403000000275744B700000030504C5445000000FFFFFF7F0000FF0000FF7F00FFBF00FFFF0000FF0000BF00007F007FBFFF0000FF00007F803F00808080C0C0C0B75A2257000000504944415478DA6330C60B18468A74320DA5CDD268256D960601B87443649371499BA16B46B3DB0C4DD698A10319B401A5510448924E4B6B4BCBC0239DD1814F3A038AB14BB7C109ECBA31C0A8340DA401FB2D8DFE5171BF330000000049454E44AE426082
2;553;Burundi;Bujumbura;8954362;27834;321.70;0x89504E470D0A1A0A0000000D494844520000003C000000240403000000275744B700000030504C5445000000FFFFFF7F0000FF0000FF7F00FFBF00FFFF0000FF0000BF00007F007FBFFF0000FF00007F803F00808080C0C0C0B75A2257000000A54944415478DACDD4410EC420080550AE40BAF11A8D9B5ECFCC86638F0E28B401EC725835794DBE452860AFEAD6D90530F2A1C247A0082D706426DF590988D089171DEC38071766758959CA3CE3E5355566F151FA44CACBE96A56274BFC0A105D4C772E4F269B3DD5B01E4AD530FD2F372C759CFE535D46E1E3F2BEFBD7496EA7D3357CD49D1BFA0E81DAFBDE4C4B3E6BF9A4E6739E6FC966C7361BFA62BFF3BF430DAAD317632A0D4A5AF27BFD0000000049454E44AE426082
2;569;Kambodža;Phnum Pénh;14319939;181035;79.10;0x89504E470D0A1A0A0000000D494844520000003C000000240403000000275744B700000030504C5445000000FFFFFF7F0000FF0000FF7F00FFBF00FFFF0000FF0000BF00007F007FBFFF0000FF00007F803F00808080C0C0C0B75A2257000000684944415478DAED93510AC0200C43BD42C84982F7BFC10EB56EC294D1E8C7D8D716A83F8FD83668D9A62A5FC575AA3BE68B58F218ADC4142B10C24D594CD261502010C5DCDDE42EA71EE0B3ED7154DABD6D6AC0355A1FBD0C6923DA5363681D6BE1CE9FC3FF8932ED174D0E83EAF725C70000000049454E44AE426082
2;593;Kamerun;Yaoundé;19498540;475442;41.01;0x89504E470D0A1A0A0000000D494844520000003C000000240403000000275744B700000030504C5445000000FFFFFF7F0000FF0000FF7F00FFBF00FFFF0000FF0000BF00007F007FBFFF0000FF00007F803F00808080C0C0C0B75A22570000003A4944415478DA63E880036338488303865169DA4B2753226D46403A0D8FB4195808B76E882C6EC3D3D29269260DF4571AFE40351B4D4C835B1A0067769B3AA88262A00000000049454E44AE426082
2;604;Kanada;Ottawa;32513651;9976137;3.26;0x89504E470D0A1A0A0000000D494844520000003C000000240403000000275744B700000030504C5445000000FFFFFF7F0000FF0000FF7F00FFBF00FFFF0000FF0000BF00007F007FBFFF0000FF00007F803F00808080C0C0C0B75A22570000006A4944415478DAD5D2610A80200C0560AF30DE491EBBFFDD7225AB685B483FAA8122FBD4C9B0E916945360A4DB8798356BC95041CEECCC9C7D15331E30B8B2866C191BF680E8F458A166BF6A8AA107AF39BA1C75EDBD78D216D7B8A9B8EC9CE13E5372BEFF6B6FB2FC861740A0A1970E8CD1F80000000049454E44AE426082
2;617;Zelenortski otoki;Praia;507373;4033;125.80;0x89504E470D0A1A0A0000000D494844520000003C000000240403000000275744B700000030504C5445000000FFFFFF7F0000FF0000FF7F00FFBF00FFFF0000FF0000BF00007F007FBFFF0000FF00007F803F00808080C0C0C0B75A22570000002F4944415478DA63388317308C4AD3543A872269FABB5C102FA050DA182FA0509AA62EA74A981F8313432639E0970600FEBDA24DD4011CB00000000049454E44AE426082
2;627;Kajmanski Otoki;George Town;55611;259;214.70;0x89504E470D0A1A0A0000000D494844520000003C000000240403000000275744B700000030504C5445000000FFFFFF7F0000FF0000FF7F00FFBF00FFFF0000FF0000BF00007F007FBFFF0000FF00007F803F00808080C0C0C0B75A2257000001054944415478DADDD2B16AC4300C06601D473AF7C76032E4258CE97B1CDC0B5C28981BF2101D3B74E8DAC7115D3AE8A1AA58A25CCFF171F369704CBE48465628631211E4A4AB84BA5E04717563245CB366C059BF9486ABAF6C751A5E5D9943AB951594436A55081639D9F39AF3FFB88BB1F33A9B0C0C64BE753603A4EFA70E03E3D7A7EDD7C6A08D6BDFC8D699268FEF6F7FAC6AB7E6AE0CE65DAD4E7A29C9EF1C3630E0797F3C6463CBF18955577E190EFB5A9DACA2CF1BC178A0A3B39DE7CC304640326EC7A01C59A63EE3BCFC7CDC60CC71F1C69A60BCCA79F94E3D4E4FF338C792B65942D15395659B6329C0A94C1D66443ACD900ED7A140BABC3627B7F8F23F7F48FE0584C57B20395611960000000049454E44AE426082
2;629;Centralna Afriška Republika;Bangui;3386830;622436;5.44;0x89504E470D0A1A0A0000000D494844520000003C000000240403000000275744B700000030504C5445000000FFFFFF7F0000FF0000FF7F00FFBF00FFFF0000FF0000BF00007F007FBFFF0000FF00007F803F00808080C0C0C0B75A2257000000474944415478DA6338830C8C81C006598081B0741A5EE9B4B4347CD2C7D27228913E934389CBF1490B220390B421B2C08895EE400620690B6481112B9D860C40D266C80223551A00DC63B448BE33F2F90000000049454E44AE426082
2;647;Čad;N'Djaména;9179545;1284000;7.15;0x89504E470D0A1A0A0000000D494844520000003C000000240403000000275744B700000030504C5445000000FFFFFF7F0000FF0000FF7F00FFBF00FFFF0000FF0000BF00007F007FBFFF0000FF00007F803F00808080C0C0C0B75A22570000001C4944415478DA63D80D076970600C070CA3D2A3D2A3D2A3D2E4480300E413DE3048EB91170000000049454E44AE426082
2;662;Čile;Santiago;17285667;755482;22.88;0x89504E470D0A1A0A0000000D494844520000003C000000240403000000275744B700000030504C5445000000FFFFFF7F0000FF0000FF7F00FFBF00FFFF0000FF0000BF00007F007FBFFF0000FF00007F803F00808080C0C0C0B75A22570000003C4944415478DA6338030782580003EDA56528913E48405A108FF4413003B76E102D83C770B02C8DA481FE12C4270D46031063C678C1A8F4A834120000574300CF2A1C75430000000049454E44AE426082
2;676;Kitajska;Peking;1321359943;9806391;134.70;0x89504E470D0A1A0A0000000D494844520000003C000000240403000000275744B700000030504C5445000000FFFFFF7F0000FF0000FF7F00FFBF00FFFF0000FF0000BF00007F007FBFFF0000FF00007F803F00808080C0C0C0B75A2257000000404944415478DA6330C60B18889336C32F9D46916EF29D66968CD37684342EDD69408047DA2C2D2D199FDDB83513216D960C765B326D826510C7D8A8F430920600F9EADAFB9E8C5A8B0000000049454E44AE426082
2;709;Kolumbija;Bogotá;44969445;1141748;39.39;0x89504E470D0A1A0A0000000D494844520000003C000000240403000000275744B700000030504C5445000000FFFFFF7F0000FF0000FF7F00FFBF00FFFF0000FF0000BF00007F007FBFFF0000FF00007F803F00808080C0C0C0B75A22570000001D4944415478DA6348C30B1846A547A591A477E3052356DA182F18A9D20072D9D23C82FDBB300000000049454E44AE426082
